"site.id","lat","lon","day","month","year","survey.conducted","survey.id","data.type","pass.id","species","age","individual.id","time.to.detect","date","count","survey.pass"
41,42.39688254,-73.2915595,0,NA,1976,1,179,"PO",1,"GPOR","NR",NA,NA,NA,1,"179_1"
41,42.39688254,-73.2915595,0,NA,1976,1,180,"PO",1,"GPOR","NR",NA,NA,NA,1,"180_1"
41,42.39688254,-73.2915595,0,NA,1976,1,181,"PO",1,"GPOR","NR",NA,NA,NA,1,"181_1"
41,42.39688254,-73.2915595,0,NA,1976,1,182,"PO",1,"GPOR","NR",NA,NA,NA,1,"182_1"
41,42.39688254,-73.2915595,0,NA,1976,1,183,"PO",1,"GPOR","NR",NA,NA,NA,1,"183_1"
41,42.39688254,-73.2915595,0,NA,1976,1,184,"PO",1,"GPOR","NR",NA,NA,NA,1,"184_1"
41,42.39688254,-73.2915595,0,NA,1976,1,185,"PO",1,"GPOR","NR",NA,NA,NA,1,"185_1"
41,42.39688254,-73.2915595,0,NA,1976,1,186,"PO",1,"GPOR","NR",NA,NA,NA,1,"186_1"
41,42.39688254,-73.2915595,0,NA,1976,1,187,"PO",1,"GPOR","NR",NA,NA,NA,1,"187_1"
41,42.39688254,-73.2915595,0,NA,1976,1,188,"PO",1,"GPOR","NR",NA,NA,NA,1,"188_1"
41,42.39688254,-73.2915595,0,NA,1976,1,189,"PO",1,"GPOR","NR",NA,NA,NA,1,"189_1"
41,42.39688254,-73.2915595,0,NA,1976,1,190,"PO",1,"GPOR","NR",NA,NA,NA,1,"190_1"
41,42.39688254,-73.2915595,0,NA,1976,1,191,"PO",1,"GPOR","NR",NA,NA,NA,1,"191_1"
41,42.39688254,-73.2915595,0,NA,1976,1,192,"PO",1,"GPOR","NR",NA,NA,NA,1,"192_1"
41,42.39688254,-73.2915595,0,NA,1976,1,193,"PO",1,"GPOR","NR",NA,NA,NA,1,"193_1"
41,42.39688254,-73.2915595,0,NA,1976,1,194,"PO",1,"GPOR","NR",NA,NA,NA,1,"194_1"
41,42.39688254,-73.2915595,0,NA,1976,1,195,"PO",1,"GPOR","NR",NA,NA,NA,1,"195_1"
41,42.39688254,-73.2915595,0,NA,1976,1,196,"PO",1,"GPOR","NR",NA,NA,NA,1,"196_1"
41,42.39688254,-73.2915595,0,NA,1976,1,197,"PO",1,"GPOR","NR",NA,NA,NA,1,"197_1"
41,42.39688254,-73.2915595,0,NA,1976,1,198,"PO",1,"GPOR","NR",NA,NA,NA,1,"198_1"
41,42.39688254,-73.2915595,0,NA,1976,1,199,"PO",1,"GPOR","NR",NA,NA,NA,1,"199_1"
41,42.39688254,-73.2915595,0,NA,1976,1,200,"PO",1,"GPOR","NR",NA,NA,NA,1,"200_1"
41,42.39688254,-73.2915595,0,NA,1976,1,201,"PO",1,"GPOR","NR",NA,NA,NA,1,"201_1"
41,42.39688254,-73.2915595,0,NA,1976,1,202,"PO",1,"GPOR","NR",NA,NA,NA,1,"202_1"
41,42.39688254,-73.2915595,0,NA,1976,1,203,"PO",1,"GPOR","NR",NA,NA,NA,1,"203_1"
41,42.39688254,-73.2915595,0,NA,1976,1,204,"PO",1,"GPOR","NR",NA,NA,NA,1,"204_1"
41,42.39688254,-73.2915595,0,NA,1976,1,205,"PO",1,"GPOR","NR",NA,NA,NA,1,"205_1"
41,42.39688254,-73.2915595,0,NA,1976,1,206,"PO",1,"GPOR","NR",NA,NA,NA,1,"206_1"
41,42.39688254,-73.2915595,0,NA,1976,1,207,"PO",1,"GPOR","NR",NA,NA,NA,1,"207_1"
41,42.39688254,-73.2915595,0,NA,1976,1,208,"PO",1,"GPOR","NR",NA,NA,NA,1,"208_1"
41,42.39688254,-73.2915595,0,NA,1976,1,209,"PO",1,"GPOR","NR",NA,NA,NA,1,"209_1"
41,42.39688254,-73.2915595,0,NA,1976,1,210,"PO",1,"GPOR","NR",NA,NA,NA,1,"210_1"
41,42.39688254,-73.2915595,0,NA,1976,1,211,"PO",1,"GPOR","NR",NA,NA,NA,1,"211_1"
41,42.39688254,-73.2915595,0,NA,1976,1,212,"PO",1,"GPOR","NR",NA,NA,NA,1,"212_1"
41,42.39688254,-73.2915595,0,NA,1976,1,213,"PO",1,"GPOR","NR",NA,NA,NA,1,"213_1"
41,42.39688254,-73.2915595,0,NA,1976,1,214,"PO",1,"GPOR","NR",NA,NA,NA,1,"214_1"
