strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
170701051105,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051201,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051202,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051203,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701051204,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701060101,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701060102,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170701060106,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170702040304,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170702040305,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
170702040306,aCSFRx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
