strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
031300020103,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020104,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020201,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020202,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020203,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020204,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020205,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020206,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020207,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020208,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020301,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020302,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020303,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020304,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020305,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020306,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020307,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020308,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020309,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020310,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020311,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020312,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020401,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020402,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020403,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020404,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020405,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020406,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020407,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020408,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020501,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
031300020502,aSRBSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
