strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010300010503,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010504,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010505,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010506,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010507,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010508,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010509,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010510,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010601,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010602,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010603,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010604,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010605,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010606,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010607,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010608,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010609,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010610,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020101,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020102,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020103,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020104,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020105,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020106,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020201,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020202,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020203,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020204,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020301,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020302,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020303,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020304,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020401,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300020402,aSPRSx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
